prism_consumer_id,score
560,0.02306613
561,0.0059936163
562,0.008272004
563,0.052766893
564,0.040887292
565,0.0203215
566,0.04760911
567,0.008867716
568,0.024530463
569,0.012716858
570,0.017947694
571,0.04377112
572,0.116788164
573,0.24460055
574,0.019513646
575,0.024920305
576,0.1032266
577,0.0137209
578,0.054135468
579,0.03677656
580,0.013908925
581,0.0042307517
582,0.09833389
583,0.019689912
584,0.00712991
585,0.09665588
586,0.005171407
587,0.11260629
588,0.01090994
589,0.020776615
590,0.023693336
591,0.026257355
592,0.06495525
593,0.010192714
594,0.012568623
595,0.011655103
596,0.0062626014
597,0.016667463
598,0.01132227
599,0.025987845
600,0.026529662
601,0.010650481
602,0.06440198
603,0.051455878
604,0.079644434
605,0.09838924
606,0.018967405
607,0.042537134
608,0.04958508
609,0.08548273
610,0.044441342
611,0.015735626
612,0.1166383
613,0.0066700145
614,0.06291234
615,0.005492584
616,0.0107056545
617,0.010952137
618,0.008161543
619,0.07691169
620,0.026111674
621,0.009578479
622,0.011831024
623,0.0032417637
624,0.050986066
625,0.003840057
626,0.007446177
627,0.017754436
628,0.032135624
629,0.010747095
630,0.0253657
631,0.009530503
632,0.01111407
633,0.0642862
634,0.035373118
635,0.010819694
636,0.013625128
637,0.107501216
638,0.18275546
639,0.028528746
640,0.011848788
641,0.024715459
642,0.010160556
643,0.013560976
644,0.009669221
645,0.012585583
646,0.031332195
647,0.24479793
648,0.013757762
649,0.096994795
650,0.009009106
651,0.06751654
652,0.006757479
653,0.015407985
654,0.011041143
655,0.011808657
656,0.0046702577
657,0.033086512
658,0.033813994
659,0.00930496
660,0.00376342
661,0.03345406
662,0.020362005
663,0.0024400232
664,0.015013823
665,0.006131841
666,0.13027373
667,0.015725777
668,0.00950177
669,0.042363912
670,0.0076510785
671,0.062463664
672,0.059762135
673,0.0067344587
674,0.12744854
675,0.0054530236
676,0.04571099
677,0.010545756
678,0.01329108
679,0.0076821824
680,0.0144890705
681,0.23615749
682,0.009150679
683,0.010111699
684,0.004857436
685,0.050358653
686,0.022831144
687,0.02245968
688,0.019701129
689,0.008877516
690,0.019686837
691,0.010300612
692,0.009939708
693,0.040237814
694,0.021477139
695,0.0317899
696,0.022232039
697,0.0135696465
698,0.019127602
699,0.036151823
700,0.023371462
701,0.011460858
702,0.0332885
703,0.017262083
704,0.01985826
705,0.04293756
706,0.016525116
707,0.09176408
708,0.033883292
709,0.031898323
710,0.64649725
711,0.018454503
712,0.023515146
713,0.037094958
714,0.1978666
715,0.027470352
716,0.2661752
717,0.01042846
718,0.0047402773
719,0.029206354
720,0.014024553
721,0.045437083
722,0.011906936
723,0.085628584
724,0.012459542
725,0.004441739
726,0.2163864
727,0.009316268
728,0.016168157
729,0.011091281
730,0.043041307
731,0.014531946
732,0.04377167
733,0.037170004
734,0.0540369
735,0.008662553
736,0.004777754
737,0.007792759
738,0.065624684
739,0.009034557
740,0.11669083
741,0.009742856
742,0.041359283
743,0.011871509
744,0.008644729
745,0.09323294
746,0.2748387
747,0.13978761
748,0.007980932
749,0.0036980005
750,0.012884533
751,0.0101981945
752,0.022146443
753,0.01857197
754,0.10420841
755,0.021638922
756,0.008179512
757,0.037013926
758,0.0051537766
759,0.021165298
760,0.026895655
761,0.012022085
762,0.014123788
763,0.021492809
764,0.0106569845
765,0.0069124415
766,0.09938868
767,0.477303
768,0.011343806
769,0.016057631
770,0.0069777183
771,0.055625338
772,0.018205002
773,0.021509241
774,0.026244637
775,0.030565633
776,0.024311775
777,0.015983336
778,0.0184607
779,0.014234042
780,0.020966742
781,0.04142596
782,0.04181732
783,0.08339919
784,0.021272559
785,0.01574701
786,0.02550255
787,0.008896824
788,0.013572021
789,0.060161073
790,0.09596817
791,0.04705618
792,0.017433906
793,0.013607683
794,0.04526955
795,0.0049690353
796,0.014816174
797,0.03367966
798,0.02551528
799,0.005373692
800,0.010869617
801,0.022106918
802,0.06432538
803,0.008225448
804,0.05271485
805,0.027513904
806,0.010716558
807,0.09763135
808,0.010712606
809,0.15043205
810,0.034552917
811,0.01554135
812,0.16627848
813,0.027041445
814,0.092685714
815,0.0055892942
816,0.0048909746
817,0.007347339
818,0.020034533
819,0.06723381
820,0.08029024
821,0.3671814
822,0.012972902
823,0.018628879
824,0.02222832
825,0.18253423
826,0.07625905
827,0.009282705
828,0.04300786
829,0.014009948
830,0.0067232153
831,0.0045008194
832,0.013873418
833,0.013477472
834,0.19862875
835,0.010727665
836,0.04811815
837,0.007075933
838,0.1792939
839,0.035915047
840,0.021271944
841,0.0037597371
842,0.015962372
843,0.014351707
844,0.027074262
845,0.04796234
846,0.014048778
847,0.006968341
848,0.056873146
849,0.0064940355
850,0.010279279
851,0.056242544
852,0.008473577
853,0.004287968
854,0.026103273
855,0.026416693
856,0.025994267
857,0.009043509
858,0.015267565
859,0.0492023
860,0.006296155
861,0.052489746
862,0.47894618
863,0.08674378
864,0.015523317
865,0.0075540943
866,0.13576113
867,0.010034774
868,0.082561746
869,0.055810176
870,0.07203548
871,0.0084670335
872,0.046367843
873,0.0070579876
874,0.01822087
875,0.025522152
876,0.02902487
877,0.01015942
878,0.13584685
879,0.18595819
880,0.010389599
881,0.0045017656
882,0.06527909
883,0.0036588626
884,0.013670132
885,0.021483433
886,0.035794467
887,0.015827851
888,0.021327285
889,0.022471063
890,0.14153188
891,0.004819932
892,0.09633484
893,0.016142335
894,0.015764965
895,0.047090895
896,0.017105734
897,0.04118326
898,0.009101166
899,0.011230521
900,0.010748169
901,0.0065337685
902,0.010355239
903,0.025668304
904,0.036541075
905,0.022687852
906,0.010291962
907,0.01729131
908,0.0067061973
909,0.0065172175
910,0.022724623
911,0.011871783
912,0.011739012
913,0.0070921932
914,0.0121334335
915,0.021946013
916,0.015125592
917,0.02764347
918,0.024806228
919,0.26468384
920,0.02445635
921,0.199211
922,0.0630889
923,0.72218734
924,0.00920219
925,0.08418214
926,0.014590639
927,0.033872306
928,0.009038276
929,0.009708747
930,0.016858296
931,0.005972585
932,0.02291397
933,0.050517783
934,0.15073974
935,0.026133139
936,0.0067911213
937,0.011076636
938,0.0068653054
939,0.032218218
940,0.011881122
941,0.017185405
942,0.008881918
943,0.059571642
944,0.0069747744
945,0.011018075
946,0.10582656
947,0.008290935
948,0.066082954
949,0.017447766
950,0.04986228
951,0.005652549
952,0.034592092
953,0.0041015614
954,0.11462465
955,0.0044929655
956,0.016317014
957,0.069129296
958,0.013458832
959,0.49329588
960,0.017160658
961,0.008957604
962,0.042700615
963,0.042945106
964,0.030322969
965,0.09652922
966,0.0066015157
967,0.005789538
968,0.003202398
969,0.15372941
970,0.014881954
971,0.09005671
972,0.04205212
973,0.004804454
974,0.11214278
975,0.0115252705
976,0.030401343
977,0.11958079
978,0.008391929
979,0.010712121
980,0.021589246
981,0.0069703935
982,0.0065140356
983,0.026697045
984,0.009713489
985,0.016145607
986,0.03811187
987,0.02171684
988,0.023613032
989,0.008842017
990,0.013657671
991,0.04758372
992,0.009342875
993,0.03290128
994,0.007065889
995,0.0053024604
996,0.058721226
997,0.026476283
998,0.020578347
999,0.02030494
1000,0.038563073
1001,0.0058451705
1002,0.0062105358
1003,0.0033969125
1004,0.0068507683
1005,0.046324193
1006,0.035254646
1007,0.036804337
1008,0.005939501
1009,0.017623004
1010,0.13851608
1011,0.025459966
1012,0.03679316
1013,0.01526234
1014,0.013095074
1015,0.0112267565
1016,0.059790123
1017,0.012758365
1018,0.005142028
1019,0.009222598
1020,0.020186836
1021,0.034637026
1022,0.0032564232
1023,0.12242517
1024,0.006208231
1025,0.007096317
1026,0.0102212615
1027,0.09025022
1028,0.014502306
1029,0.045154255
1030,0.017805124
1031,0.007831746
1032,0.008476322
1033,0.008441204
1034,0.008130417
1035,0.018943608
1036,0.005573198
1037,0.0032645606
1038,0.025031006
1039,0.01005919
1040,0.013871557
1041,0.02130885
1042,0.051465895
1043,0.055805366
1044,0.0052495077
1045,0.011500845
1046,0.02173425
1047,0.047816016
1048,0.009629495
1049,0.020973105
1050,0.0056193275
1051,0.016827842
1052,0.01778498
1053,0.014366906
1054,0.05654258
1055,0.027512284
1056,0.036027066
1057,0.024766732
1058,0.0064765965
1059,0.039815236
1060,0.028047213
1061,0.005150966
1062,0.013185673
1063,0.007965871
